image_id,object_count
000000,1
000001,7
000002,2
000003,3
000004,7
000005,5
000006,6
000007,6
000008,10
000009,5
000010,13
000011,9
000012,5
000013,2
000014,3
000015,10
000016,22
000017,2
000018,20
000019,6
000020,1
000021,10
000022,3
000023,6
000024,7
000025,9
000026,2
000027,3
000028,1
000029,4
000030,2
000031,9
000032,12
000033,3
000034,6
000035,11
000036,9
000037,3
000038,13
000039,8
000040,3
000041,5
000042,6
000043,9
000044,3
000045,12
000046,7
000047,9
000048,10
000049,19
000050,5
000051,11
000052,9
000053,9
000054,1
000055,7
000056,2
000057,5
000058,1
000059,6
000060,9
000061,8
000062,6
000063,4
000064,6
000065,9
000066,5
000067,9
000068,12
000069,5
000070,1
000071,3
000072,4
000073,8
000074,5
000075,7
000076,10
000077,3
000078,6
000079,10
000080,5
000081,7
000082,3
000083,6
000084,2
000085,6
000086,8
000087,11
000088,5
000089,6
000090,1
000091,6
000092,7
000093,8
000094,1
000095,15
000096,9
000097,8
000098,8
000099,14
000100,5
000101,7
000102,3
000103,1
000104,8
000105,7
000106,7
000107,10
000108,4
000109,1
000110,12
000111,14
000112,11
000113,18
000114,14
000115,5
000116,5
000117,11
000118,7
000119,6
000120,11
000121,12
000122,4
000123,2
000124,10
000125,9
000126,4
000127,14
000128,6
000129,10
000130,1
000131,11
000132,3
000133,4
000134,17
000135,15
000136,8
000137,10
000138,7
000139,8
000140,4
000141,2
000142,14
000143,9
000144,9
000145,17
000146,18
000147,4
000148,1
000149,11
000150,6
000151,7
000152,11
000153,4
000154,10
000155,11
000156,2
000157,15
000158,1
000159,11
000160,6
000161,17
000162,9
000163,12
000164,7
000165,11
000166,6
000167,8
000168,6
000169,20
000170,3
000171,7
000172,9
000173,10
000174,5
000175,4
000176,7
000177,10
000178,9
000179,5
000180,4
000181,14
000182,5
000183,8
000184,7
000185,7
000186,10
000187,3
000188,6
000189,8
000190,5
000191,11
000192,9
000193,1
000194,3
000195,7
000196,3
000197,13
000198,3
000199,1
000200,4
000201,13
000202,1
000203,5
000204,7
000205,6
000206,4
000207,10
000208,3
000209,1
000210,9
000211,11
000212,7
000213,14
000214,10
000215,2
000216,7
000217,8
000218,12
000219,7
000220,8
000221,4
000222,8
000223,6
000224,6
000225,6
000226,11
000227,6
000228,10
000229,6
000230,6
000231,8
000232,6
000233,4
000234,13
000235,7
000236,9
000237,6
000238,7
000239,3
000240,2
000241,3
000242,5
000243,11
000244,11
000245,5
000246,9
000247,1
000248,11
000249,9
000250,4
000251,6
000252,4
000253,4
000254,11
000255,2
000256,6
000257,6
000258,5
000259,5
000260,4
000261,7
000262,9
000263,1
000264,18
000265,12
000266,14
000267,6
000268,6
000269,8
000270,7
000271,7
000272,3
000273,17
000274,16
000275,10
000276,5
000277,17
000278,2
000279,8
000280,2
000281,7
000282,4
000283,3
000284,10
000285,14
000286,13
000287,4
000288,1
000289,3
000290,1
000291,6
000292,4
000293,3
000294,1
000295,8
000296,9
000297,9
000298,1
000299,2
000300,6
000301,7
000302,4
000303,9
000304,2
000305,6
000306,7
000307,7
000308,10
000309,5
000310,12
000311,11
000312,6
000313,7
000314,7
000315,4
000316,12
000317,14
000318,7
000319,4
000320,7
000321,5
000322,3
000323,7
000324,1
000325,8
000326,5
000327,1
000328,11
000329,8
000330,10
000331,3
000332,13
000333,6
000334,3
000335,8
000336,16
000337,1
000338,9
000339,14
000340,7
000341,9
000342,9
000343,6
000344,7
000345,7
000346,12
000347,6
000348,10
000349,4
000350,12
000351,9
000352,12
000353,2
000354,10
000355,4
000356,10
000357,11
000358,6
000359,8
000360,6
000361,12
000362,14
000363,7
000364,6
000365,1
000366,10
000367,5
000368,1
000369,15
000370,9
000371,13
000372,7
000373,6
000374,7
000375,3
000376,7
000377,7
000378,4
000379,7
000380,11
000381,1
000382,9
000383,13
000384,17
000385,8
000386,9
000387,5
000388,4
000389,9
000390,2
000391,6
000392,15
000393,12
000394,9
000395,14
000396,2
000397,16
000398,1
000399,4
000400,7
000401,11
000402,7
000403,8
000404,13
000405,9
000406,2
000407,1
000408,9
000409,3
000410,8
000411,3
000412,8
000413,6
000414,1
000415,13
000416,4
000417,11
000418,5
000419,3
000420,5
000421,9
000422,9
000423,15
000424,15
000425,15
000426,7
000427,11
000428,6
000429,12
000430,6
000431,7
000432,16
000433,7
000434,1
000435,5
000436,13
000437,3
000438,6
000439,9
000440,8
000441,13
000442,12
000443,11
000444,2
000445,18
000446,3
000447,8
000448,10
000449,10
000450,4
000451,3
000452,8
000453,8
000454,5
000455,10
000456,3
000457,4
000458,5
000459,5
000460,7
000461,9
000462,13
000463,10
000464,7
000465,1
000466,4
000467,2
000468,9
000469,18
000470,17
000471,11
000472,8
000473,3
000474,5
000475,11
000476,3
000477,1
000478,5
000479,8
000480,8
000481,6
000482,4
000483,11
000484,9
000485,7
000486,10
000487,7
000488,12
000489,5
000490,15
000491,7
000492,11
000493,8
000494,8
000495,7
000496,9
000497,12
000498,1
000499,3
000500,16
000501,8
000502,12
000503,5
000504,2
000505,7
000506,8
000507,3
000508,4
000509,1
000510,8
000511,9
000512,5
000513,14
000514,7
000515,9
000516,6
000517,5
000518,15
000519,15
000520,1
000521,7
000522,10
000523,5
000524,4
000525,2
000526,2
000527,8
000528,6
000529,11
000530,6
000531,14
000532,1
000533,5
000534,2
000535,18
000536,3
000537,3
000538,6
000539,11
000540,15
000541,7
000542,6
000543,4
000544,9
000545,6
000546,1
000547,2
000548,10
000549,15
000550,4
000551,7
000552,2
000553,16
000554,17
000555,5
000556,5
000557,6
000558,10
000559,11
000560,4
000561,4
000562,8
000563,2
000564,4
000565,2
000566,4
000567,7
000568,3
000569,7
000570,2
000571,14
000572,10
000573,16
000574,4
000575,7
000576,11
000577,6
000578,9
000579,13
000580,5
000581,3
000582,5
000583,6
000584,2
000585,5
000586,14
000587,3
000588,7
000589,6
000590,20
000591,9
000592,10
000593,2
000594,6
000595,9
000596,16
000597,13
000598,1
000599,11
000600,9
000601,7
000602,5
000603,9
000604,2
000605,4
000606,4
000607,2
000608,7
000609,3
000610,5
000611,5
000612,14
000613,18
000614,10
000615,9
000616,4
000617,6
000618,4
000619,7
000620,8
000621,4
000622,5
000623,12
000624,5
000625,15
000626,7
000627,3
000628,18
000629,3
000630,7
000631,7
000632,13
000633,1
000634,7
000635,6
000636,3
000637,10
000638,12
000639,11
000640,5
000641,8
000642,7
000643,14
000644,3
000645,4
000646,1
000647,8
000648,5
000649,11
000650,7
000651,9
000652,6
000653,2
000654,2
000655,9
000656,3
000657,4
000658,5
000659,10
000660,3
000661,3
000662,2
000663,5
000664,5
000665,2
000666,12
000667,8
000668,11
000669,11
000670,3
000671,1
000672,4
000673,4
000674,12
000675,9
000676,5
000677,14
000678,2
000679,5
000680,6
000681,5
000682,3
000683,6
000684,12
000685,15
000686,7
000687,1
000688,9
000689,4
000690,2
000691,12
000692,12
000693,1
000694,11
000695,1
000696,8
000697,6
000698,5
000699,7
000700,5
000701,1
000702,6
000703,1
000704,4
000705,6
000706,6
000707,2
000708,11
000709,4
000710,3
000711,3
000712,14
000713,11
000714,12
000715,6
000716,5
000717,4
000718,14
000719,12
000720,12
000721,1
000722,9
000723,2
000724,6
000725,9
000726,1
000727,11
000728,5
000729,12
000730,2
000731,8
000732,12
000733,7
000734,11
000735,8
000736,11
000737,11
000738,3
000739,4
000740,2
000741,7
000742,10
000743,8
000744,1
000745,8
000746,1
000747,7
000748,6
000749,8
000750,5
000751,8
000752,11
000753,9
000754,11
000755,12
000756,9
000757,17
000758,6
000759,7
000760,8
000761,5
000762,7
000763,9
000764,18
000765,5
000766,3
000767,5
000768,10
000769,3
000770,13
000771,5
000772,4
000773,6
000774,2
000775,3
000776,7
000777,3
000778,8
000779,1
000780,15
000781,6
000782,10
000783,3
000784,1
000785,17
000786,2
000787,9
000788,5
000789,1
000790,5
000791,14
000792,6
000793,5
000794,6
000795,12
000796,14
000797,6
000798,13
000799,5
000800,7
000801,3
000802,12
000803,7
000804,7
000805,10
000806,3
000807,6
000808,10
000809,13
000810,1
000811,9
000812,4
000813,7
000814,16
000815,1
000816,5
000817,4
000818,3
000819,9
000820,3
000821,3
000822,4
000823,5
000824,2
000825,1
000826,9
000827,1
000828,1
000829,3
000830,8
000831,17
000832,7
000833,14
000834,1
000835,2
000836,5
000837,11
000838,3
000839,1
000840,11
000841,1
000842,4
000843,13
000844,4
000845,17
000846,14
000847,12
000848,4
000849,6
000850,8
000851,4
000852,4
000853,6
000854,7
000855,4
000856,8
000857,11
000858,4
000859,7
000860,5
000861,9
000862,2
000863,5
000864,5
000865,3
000866,5
000867,16
000868,13
000869,7
000870,12
000871,6
000872,2
000873,5
000874,19
000875,6
000876,3
000877,8
000878,7
000879,7
000880,4
000881,6
000882,9
000883,7
000884,6
000885,9
000886,8
000887,7
000888,2
000889,6
000890,8
000891,1
000892,10
000893,6
000894,4
000895,2
000896,6
000897,8
000898,8
000899,5
