epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5517,1.36492,0.76087,1.3885,0.65914,0.63352,0.66066,0.39123,1.0282,0.6674,1.16568,8.43972e-05,8.43972e-05,0.0668527
2,185.17,1.2302,0.6483,1.30578,0.7166,0.65404,0.73265,0.44202,0.98529,0.6054,1.13812,0.000167579,0.000167579,0.0336025
3,274.519,1.19522,0.59846,1.29183,0.71159,0.68933,0.73894,0.4496,0.96319,0.47907,1.12897,0.000249286,0.000249286,0.000350912
4,363.832,1.16265,0.5601,1.27821,0.7421,0.64844,0.73765,0.46563,0.94346,0.62442,1.11578,0.000247327,0.000247327,0.000247327
5,452.749,1.12758,0.54626,1.25123,0.71388,0.69424,0.75088,0.47625,0.93367,0.45209,1.12657,0.000245114,0.000245114,0.000245114
6,541.677,1.11185,0.55636,1.24141,0.76095,0.74094,0.78316,0.50147,0.90432,0.50802,1.11153,0.000242901,0.000242901,0.000242901
7,630.662,1.08458,0.51984,1.23019,0.83345,0.73186,0.82471,0.5229,0.90084,0.41606,1.0948,0.000240688,0.000240688,0.000240688
8,719.821,1.06664,0.51583,1.21616,0.79955,0.70793,0.80818,0.52017,0.92036,0.40492,1.10728,0.000238475,0.000238475,0.000238475
9,808.442,1.05568,0.49833,1.20842,0.81676,0.74965,0.83207,0.55147,0.85304,0.37886,1.07774,0.000236262,0.000236262,0.000236262
10,897.362,1.03729,0.49763,1.20179,0.81569,0.73171,0.80045,0.52799,0.85695,0.43325,1.07394,0.000234049,0.000234049,0.000234049
11,985.777,1.0179,0.47375,1.18916,0.80736,0.7705,0.84799,0.55697,0.83766,0.367,1.06956,0.000231836,0.000231836,0.000231836
12,1075.38,1.01013,0.48419,1.18334,0.76794,0.78459,0.81767,0.54778,0.83638,0.37239,1.07302,0.000229623,0.000229623,0.000229623
13,1164.68,1.00884,0.48229,1.18331,0.84081,0.81089,0.87521,0.58168,0.82176,0.34914,1.05952,0.00022741,0.00022741,0.00022741
14,1254.02,0.98933,0.45577,1.16906,0.86458,0.77478,0.87513,0.58975,0.81263,0.33802,1.0548,0.000225197,0.000225197,0.000225197
15,1343.34,0.98912,0.4745,1.17293,0.79572,0.80313,0.85899,0.57787,0.81609,0.35448,1.05304,0.000222984,0.000222984,0.000222984
16,1432.54,0.97112,0.45416,1.16012,0.85858,0.78458,0.8673,0.58941,0.81201,0.34096,1.05422,0.000220771,0.000220771,0.000220771
17,1521.37,0.96405,0.43653,1.1552,0.85172,0.77689,0.86748,0.58653,0.79699,0.32596,1.04943,0.000218558,0.000218558,0.000218558
18,1609.82,0.9595,0.43411,1.15357,0.84039,0.80554,0.87197,0.5934,0.80462,0.32984,1.04113,0.000216345,0.000216345,0.000216345
19,1698.16,0.95109,0.43102,1.14728,0.86733,0.8013,0.88621,0.60431,0.78566,0.30554,1.03107,0.000214131,0.000214131,0.000214131
20,1786.8,0.94397,0.44009,1.14594,0.82569,0.79122,0.85404,0.58836,0.78474,0.35543,1.03388,0.000211918,0.000211918,0.000211918
21,1875.2,0.94068,0.43717,1.14308,0.86574,0.80504,0.88651,0.61222,0.77201,0.31227,1.02679,0.000209705,0.000209705,0.000209705
22,1964.26,0.93029,0.4196,1.1333,0.79796,0.81652,0.87308,0.59581,0.78862,0.33811,1.02394,0.000207492,0.000207492,0.000207492
23,2052.9,0.92584,0.41937,1.13263,0.8469,0.78921,0.8781,0.60588,0.77441,0.32876,1.02869,0.000205279,0.000205279,0.000205279
24,2141.33,0.91148,0.40845,1.12583,0.84416,0.8104,0.88208,0.59981,0.77869,0.34081,1.03326,0.000203066,0.000203066,0.000203066
25,2230.99,0.91313,0.41182,1.12646,0.85122,0.82052,0.88725,0.61041,0.76289,0.29805,1.02323,0.000200853,0.000200853,0.000200853
26,2320.13,0.913,0.41623,1.12394,0.86564,0.82054,0.88899,0.62043,0.75859,0.32917,1.02104,0.00019864,0.00019864,0.00019864
27,2409.55,0.91003,0.40242,1.12326,0.85979,0.8314,0.89312,0.62342,0.75761,0.30604,1.01452,0.000196427,0.000196427,0.000196427
28,2498.54,0.90074,0.40677,1.11873,0.8648,0.80748,0.88862,0.61708,0.75009,0.31429,1.01979,0.000194214,0.000194214,0.000194214
29,2587.24,0.89864,0.40283,1.11827,0.83714,0.8265,0.88118,0.6084,0.74495,0.3171,1.00394,0.000192001,0.000192001,0.000192001
